PMW;GYN;2016-07-18
GYN;CGB;2016-07-18
CGB;BVH;2016-07-18
SDU;VIX;2016-07-18
VIX;SDU;2016-07-18
GRU;BSB;2016-07-18
IMP;BSB;2016-07-18
UDI;PLU;2016-07-18
GVR;PLU;2016-07-18
PNZ;REC;2016-07-18
